2019-12-09 21:56:47.303712:   [INFO  ]   -----------------------------------------------------------------------------
2019-12-09 21:56:47.303925:   [INFO  ]   Hello world!
2019-12-09 21:56:47.304133:   [INFO  ]   Start main processing!
2019-12-09 21:56:48.011167:   [START ]   Start Prepare Traning data
2019-12-09 21:56:48.028525:   [RESULT]   ----------Score on Ele Limiting 122: 2.908480780768859----------
2019-12-09 21:56:48.028610:   [RESULT]   ----------Score on Ele Limiting 123: 2.6872672891140073----------
2019-12-09 21:56:48.028722:   [RESULT]   ----------Score on Ele Limiting 124: 2.589412484207763----------
2019-12-09 21:56:48.028808:   [RESULT]   ----------Score on Ele Limiting 125: 2.628746698785968----------
2019-12-09 21:56:48.028920:   [RESULT]   ----------Score on Ele Limiting 126: 3.31869754652396----------
2019-12-09 21:56:48.029006:   [RESULT]   ----------Score on Ele Limiting 127: 2.9953322892385446----------
2019-12-09 21:56:48.029117:   [RESULT]   ----------Score on Ele Limiting 128: 3.201719847484591----------
2019-12-09 21:56:48.029205:   [RESULT]   ----------Score on Ele Limiting 129: 2.8865438671017336----------
2019-12-09 21:56:48.029313:   [RESULT]   ----------Score on Ele Limiting 130: 3.0620208239820785----------
2019-12-09 21:56:48.029399:   [RESULT]   ----------Score on Ele Limiting 131: 2.7246342471400746----------
2019-12-09 21:56:48.029511:   [RESULT]   ----------Score on Ele Limiting 132: 2.7691749139704847----------
2019-12-09 21:56:48.029596:   [RESULT]   ----------Score on Ele Limiting 133: 2.568632516023353----------
2019-12-09 21:56:48.029759:   [RESULT]   ----------Score on Ele Limiting 134: 2.9400759545790924----------
2019-12-09 21:56:48.029864:   [RESULT]   ----------Score on Ele Limiting 135: 2.5734509058795063----------
2019-12-09 21:56:48.029957:   [RESULT]   ----------Score on Ele Limiting 136: 2.7050799646929446----------
2019-12-09 21:56:48.030048:   [RESULT]   ----------Score on Ele Limiting 137: 2.6518134778669427----------
2019-12-09 21:56:48.030137:   [RESULT]   ----------Score on Ele Limiting 138: 2.6086148867548737----------
2019-12-09 21:56:48.030248:   [RESULT]   ----------Score on Ele Limiting 139: 2.982718307334115----------
2019-12-09 21:56:48.030408:   [RESULT]   ----------Score on Ele Limiting 140: 2.5981885781233522----------
2019-12-09 21:56:48.030495:   [RESULT]   ----------Score on Ele Limiting 141: 2.6334092104607603----------
2019-12-09 21:56:48.030608:   [RESULT]   ----------Score on Ele Limiting 142: 3.034325580012948----------
2019-12-09 21:56:48.030695:   [RESULT]   ----------Score on Ele Limiting 143: 2.858720279782623----------
2019-12-09 21:56:48.030805:   [RESULT]   ----------Score on Ele Limiting 144: 3.3032143384180164----------
2019-12-09 21:56:48.030893:   [RESULT]   ----------Score on Ele Limiting 145: 2.8826892542494713----------
2019-12-09 21:56:48.031003:   [RESULT]   ----------Score on Ele Limiting 146: 3.1416818105013635----------
2019-12-09 21:56:48.031091:   [RESULT]   ----------Score on Ele Limiting 147: 2.850145497774445----------
2019-12-09 21:56:48.031203:   [RESULT]   ----------Score on Ele Limiting 148: 2.63930874220301----------
2019-12-09 21:56:48.031290:   [RESULT]   ----------Score on Ele Limiting 149: 2.9722923420899874----------
2019-12-09 21:56:48.031400:   [RESULT]   ----------Score on Ele Limiting 150: 2.953145359595967----------
2019-12-09 21:56:48.031486:   [RESULT]   ----------Score on Ele Limiting 151: 2.8499737288218214----------
2019-12-09 21:56:48.031601:   [RESULT]   ----------Score on Ele Limiting 152: 2.972202380233295----------
2019-12-09 21:56:48.031747:   [RESULT]   ----------Score on Ele Limiting 153: 2.729674325655394----------
2019-12-09 21:56:48.031835:   [RESULT]   ----------Score on Ele Limiting 154: 2.6819631411539486----------
2019-12-09 21:56:48.031983:   [RESULT]   ----------Score on Ele Limiting 155: 2.638929666725898----------
2019-12-09 21:56:48.032144:   [RESULT]   ----------Score on Ele Limiting 156: 3.092017038354498----------
2019-12-09 21:56:48.032231:   [RESULT]   ----------Score on Ele Limiting 157: 2.9906917906306587----------
2019-12-09 21:56:48.032488:   [RESULT]   ----------Score on Ele Limiting 158: 3.0522923662318093----------
2019-12-09 21:56:48.032635:   [RESULT]   ----------Score on Ele Limiting 159: 2.4993995096480845----------
2019-12-09 21:56:48.032769:   [RESULT]   ----------Score on Ele Limiting 160: 2.94867265811634----------
2019-12-09 21:56:48.033007:   [RESULT]   ----------Score on Ele Limiting 161: 2.7528764883828822----------
2019-12-09 21:56:48.033190:   [RESULT]   ----------Score on Ele Limiting 162: 2.8545070258356238----------
2019-12-09 21:56:48.033420:   [RESULT]   ----------Score on Ele Limiting 163: 2.629482257245808----------
2019-12-09 21:56:48.033593:   [RESULT]   ----------Score on Ele Limiting 164: 2.959672118449856----------
2019-12-09 21:56:48.033691:   [RESULT]   ----------Score on Ele Limiting 165: 2.933513191319489----------
2019-12-09 21:56:48.033895:   [RESULT]   ----------Score on Ele Limiting 166: 2.6325935374359943----------
2019-12-09 21:56:48.034054:   [RESULT]   ----------Score on Ele Limiting 167: 2.447745421186861----------
2019-12-09 21:56:48.034218:   [RESULT]   ----------Score on Ele Limiting 168: 2.97496522806703----------
2019-12-09 21:56:48.034429:   [RESULT]   ----------Score on Ele Limiting 169: 2.5974977625414026----------
2019-12-09 21:56:48.034560:   [RESULT]   ----------Score on Ele Limiting 170: 2.921369758328342----------
2019-12-09 21:56:48.034686:   [RESULT]   ----------Score on Ele Limiting 171: 2.85765220176327----------
2019-12-09 21:56:48.034789:   [RESULT]   ----------Score on Ele Limiting 172: 2.81600287769828----------
2019-12-09 21:56:48.034880:   [RESULT]   ----------Score on Ele Limiting 173: 2.601587833219819----------
2019-12-09 21:56:48.035078:   [RESULT]   ----------Score on Ele Limiting 174: 2.4188567530347633----------
2019-12-09 21:56:48.035174:   [RESULT]   ----------Score on Ele Limiting 175: 3.039198953800985----------
2019-12-09 21:56:48.035277:   [RESULT]   ----------Score on Ele Limiting 176: 2.495520293789349----------
2019-12-09 21:56:48.035362:   [RESULT]   ----------Score on Ele Limiting 177: 3.2036545230180664----------
2019-12-09 21:56:48.037200:   [RESULT]   ----------  max: 3.4142555652676507----------
2019-12-09 21:56:48.037297:   [RESULT]   ----------  min: 2.3165093539678034----------
2019-12-09 21:56:48.037429:   [RESULT]   ----------  mid: 2.8581862407729464----------
2019-12-09 21:56:48.037503:   [RESULT]   ----------  avg: 2.8463369126994285----------
2019-12-09 21:56:48.037574:   [RESULT]   ----------  var: 0.039047046206741404----------
2019-12-09 21:56:48.037680:   [RESULT]   ----------stdev: 0.1976032545449123----------
2019-12-09 21:56:48.037749:   [DONE  ]   Limiting Ele Done
2019-12-09 21:56:48.038248:   [RESULT]   ----------Score on Int Limiting 0: 2.8140649890849083----------
2019-12-09 21:56:48.038408:   [RESULT]   ----------Score on Int Limiting 1: 2.758908206318504----------
2019-12-09 21:56:48.038490:   [RESULT]   ----------Score on Int Limiting 2: 3.1082329861958753----------
2019-12-09 21:56:48.038605:   [RESULT]   ----------Score on Int Limiting 3: 3.0882851451648916----------
2019-12-09 21:56:48.038692:   [RESULT]   ----------Score on Int Limiting 4: 3.161528792331068----------
2019-12-09 21:56:48.038800:   [RESULT]   ----------Score on Int Limiting 5: 2.9548128771038042----------
2019-12-09 21:56:48.038886:   [RESULT]   ----------Score on Int Limiting 6: 3.418710493182084----------
2019-12-09 21:56:48.038973:   [RESULT]   ----------Score on Int Limiting 7: 3.2284843206230196----------
2019-12-09 21:56:48.039122:   [RESULT]   ----------Score on Int Limiting 8: 2.8449344689213723----------
2019-12-09 21:56:48.039294:   [RESULT]   ----------Score on Int Limiting 9: 3.069893593093177----------
2019-12-09 21:56:48.039371:   [RESULT]   ----------Score on Int Limiting 10: 2.8425692015901785----------
2019-12-09 21:56:48.039480:   [RESULT]   ----------Score on Int Limiting 11: 2.946827886386935----------
2019-12-09 21:56:48.039556:   [RESULT]   ----------Score on Int Limiting 12: 3.3656614188627874----------
2019-12-09 21:56:48.039685:   [RESULT]   ----------Score on Int Limiting 13: 3.4010176020683263----------
2019-12-09 21:56:48.039846:   [RESULT]   ----------Score on Int Limiting 14: 2.912824030933672----------
2019-12-09 21:56:48.039963:   [RESULT]   ----------Score on Int Limiting 15: 2.8951188968414567----------
2019-12-09 21:56:48.040068:   [RESULT]   ----------Score on Int Limiting 16: 3.036289466873743----------
2019-12-09 21:56:48.040220:   [RESULT]   ----------Score on Int Limiting 17: 2.948502334947448----------
2019-12-09 21:56:48.040297:   [RESULT]   ----------Score on Int Limiting 18: 2.5824846856870565----------
2019-12-09 21:56:48.040405:   [RESULT]   ----------Score on Int Limiting 19: 3.2012173697115243----------
2019-12-09 21:56:48.040481:   [RESULT]   ----------Score on Int Limiting 20: 2.7366513862392834----------
2019-12-09 21:56:48.040589:   [RESULT]   ----------Score on Int Limiting 21: 2.8618194161146313----------
2019-12-09 21:56:48.040666:   [RESULT]   ----------Score on Int Limiting 22: 2.8897266717975434----------
2019-12-09 21:56:48.040753:   [RESULT]   ----------Score on Int Limiting 23: 2.9516232926782195----------
2019-12-09 21:56:48.040829:   [RESULT]   ----------Score on Int Limiting 24: 2.894825841924261----------
2019-12-09 21:56:48.040938:   [RESULT]   ----------Score on Int Limiting 25: 3.14670662915445----------
2019-12-09 21:56:48.041014:   [RESULT]   ----------Score on Int Limiting 26: 2.989983229695586----------
2019-12-09 21:56:48.041200:   [RESULT]   ----------Score on Int Limiting 27: 3.2907907831129126----------
2019-12-09 21:56:48.041297:   [RESULT]   ----------Score on Int Limiting 28: 3.211235217093271----------
2019-12-09 21:56:48.041426:   [RESULT]   ----------Score on Int Limiting 29: 3.3266265761033376----------
2019-12-09 21:56:48.041519:   [RESULT]   ----------Score on Int Limiting 30: 3.213702261927561----------
2019-12-09 21:56:48.041628:   [RESULT]   ----------Score on Int Limiting 31: 2.9202911379828835----------
2019-12-09 21:56:48.041704:   [RESULT]   ----------Score on Int Limiting 32: 2.8674190424445976----------
2019-12-09 21:56:48.041891:   [RESULT]   ----------Score on Int Limiting 33: 2.9859854607298417----------
2019-12-09 21:56:48.041981:   [RESULT]   ----------Score on Int Limiting 34: 2.929884671190171----------
2019-12-09 21:56:48.042088:   [RESULT]   ----------Score on Int Limiting 35: 3.258823102205994----------
2019-12-09 21:56:48.042170:   [RESULT]   ----------Score on Int Limiting 36: 2.9747287373620246----------
2019-12-09 21:56:48.042277:   [RESULT]   ----------Score on Int Limiting 37: 2.959564380134079----------
2019-12-09 21:56:48.042355:   [RESULT]   ----------Score on Int Limiting 38: 3.3017362569617825----------
2019-12-09 21:56:48.042461:   [RESULT]   ----------Score on Int Limiting 39: 3.0891487982943304----------
2019-12-09 21:56:48.042539:   [RESULT]   ----------Score on Int Limiting 40: 2.9754845916270467----------
2019-12-09 21:56:48.042668:   [RESULT]   ----------Score on Int Limiting 41: 3.342409541178023----------
2019-12-09 21:56:48.042816:   [RESULT]   ----------Score on Int Limiting 42: 2.8893038718640613----------
2019-12-09 21:56:48.042919:   [RESULT]   ----------Score on Int Limiting 43: 3.186885509905597----------
2019-12-09 21:56:48.043001:   [RESULT]   ----------Score on Int Limiting 44: 3.1028998832283077----------
